Country Name,2012,2013,2014,2015,2016,2017
Aruba,2534636872,2701675978,2765363128,2919553073,2965921788,3056424581
Afghanistan,20001598506,20561069558,20484885120,19907111419,18017749074,18869945678
Angola,1.28E+11,1.37E+11,1.46E+11,1.16E+11,1.01E+11,1.22E+11
Albania,12319830252,12776217195,13228144008,11386846319,11861200797,13019693451
Andorra,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750
Arab World,2.77E+12,2.86E+12,2.89E+12,2.53E+12,2.47E+12,2.52E+12
United Arab Emirates,3.75E+11,3.90E+11,4.03E+11,3.58E+11,3.57E+11,3.86E+11
Argentina,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.58E+11,6.44E+11
Armenia,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566
American Samoa,644000000,641000000,642000000,661000000,652000000,602000000
Antigua and Barbuda,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778
Australia,1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12
Austria,4.09E+11,4.30E+11,4.42E+11,3.82E+11,3.96E+11,4.17E+11
Azerbaijan,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912
Burundi,2333308099,2451625333,2705783272,3104394858,2959640987,3172292379
Belgium,4.96E+11,5.22E+11,5.35E+11,4.62E+11,4.76E+11,5.03E+11
Benin,11141358945,12517845732,13284528654,11388160958,11821066153,12701656931
Burkina Faso,12561016091,13444301139,13943016924,11832159276,12833363370,14106956830
Bangladesh,1.33E+11,1.50E+11,1.73E+11,1.95E+11,2.21E+11,2.50E+11
Bulgaria,54033250329,55615397666,56901994980,50647442757,53806894796,58971520599
Bahrain,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596
"Bahamas, The",10720500000,10568400000,11111600000,11710800000,11928500000,12490700000
Bosnia and Herzegovina,17226849297,18178503835,18558343508,16211541820,16913330694,18080118128
Belarus,65685102555,75527984234,78813839984,56454734397,47722657821,54726595249
Belize,1522900000,1579400000,1662800000,1723800000,1775100000,1836600000
Bermuda,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000
Bolivia,27084497483,30659338880,32996188013,33000198248,33941126200,37508642165
Brazil,2.47E+12,2.47E+12,2.46E+12,1.80E+12,1.80E+12,2.06E+12
Barbados,4610000000,4677000000,4696500000,4715000000,4830000000,4978000000
Brunei Darussalam,19047940301,18093829923,17098342541,12930394938,11400854268,12128104859
Bhutan,1781281282,1756215665,1907090813,2003598213,2158972129,2450364928
Botswana,14380004175,14901750991,16250781587,14420593484,15646354089,17405588070
Central African Republic,2510126699,1691544192,1894813505,1695825708,1825018191,2072350151
Canada,1.83E+12,1.85E+12,1.80E+12,1.56E+12,1.53E+12,1.65E+12
Central Europe and the Baltics,1.35E+12,1.42E+12,1.46E+12,1.29E+12,1.32E+12,1.46E+12
Switzerland,6.68E+11,6.89E+11,7.09E+11,6.80E+11,6.71E+11,6.80E+11
Channel Islands,,,,,,
Chile,2.67E+11,2.78E+11,2.61E+11,2.44E+11,2.50E+11,2.77E+11
China,8.53E+12,9.57E+12,1.05E+13,1.11E+13,1.12E+13,1.23E+13
Cote d'Ivoire,26789047555,31273074528,35363533866,45814637971,47964234560,51588158718
Cameroon,29102772799,32357345501,34989493826,30928653814,32643697596,35009262788
"Congo, Dem. Rep.",29306235826,32679745298,35909040266,37917704900,37134799975,38019265626
"Congo, Rep.",17692912613,17958721572,17783526318,11953249530,10335424288,11198674674
Colombia,3.71E+11,3.82E+11,3.81E+11,2.93E+11,2.83E+11,3.12E+11
Comoros,1015843369,1116224161,1149587652,966029542,1012835518,1077439663
Cabo Verde,1741809809,1850470042,1859898513,1596800287,1662998678,1769787215
Costa Rica,46473128286,49745088112,50577769838,54775994479,57157992434,58481858043
Caribbean small states,72051118642,73417589878,74433668499,72828471571,69191343076,71452564226
Cuba,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000
Curacao,3131096089,3147616201,3158406034,3151910782,3122287933,3116610112
Cayman Islands,4291158968,4405954696,4563017852,4708336756,4909498943,5153091158
Cyprus,24978513427,23900872626,23156850007,19842404305,20953442550,22729184365
Czech Republic,2.09E+11,2.12E+11,2.09E+11,1.88E+11,1.96E+11,2.19E+11
Germany,3.53E+12,3.73E+12,3.88E+12,3.36E+12,3.47E+12,3.68E+12
Djibouti,1353632942,2042817163,2214681574,2430287967,2603554907,2751461056
Dominica,485996296.3,498296296.3,520207407.4,540737037,576229629.6,519837037
Denmark,3.27E+11,3.44E+11,3.53E+11,3.03E+11,3.13E+11,3.32E+11
Dominican Republic,60681537195,62682163838,67179914026,71164825258,75704720190,79997975623
Algeria,2.09E+11,2.10E+11,2.14E+11,1.66E+11,1.60E+11,1.70E+11
East Asia & Pacific (excluding high income),1.07E+13,1.18E+13,1.28E+13,1.33E+13,1.36E+13,1.48E+13
Early-demographic dividend,1.01E+13,1.03E+13,1.06E+13,1.03E+13,1.06E+13,1.14E+13
East Asia & Pacific,2.11E+13,2.13E+13,2.20E+13,2.19E+13,2.27E+13,2.42E+13
Europe & Central Asia (excluding high income),3.90E+12,4.14E+12,3.84E+12,2.92E+12,2.77E+12,3.11E+12
Europe & Central Asia,2.24E+13,2.34E+13,2.37E+13,2.05E+13,2.04E+13,2.16E+13
Ecuador,87924544000,95129659000,1.02E+11,99290381000,99937696000,1.04E+11
"Egypt, Arab Rep.",2.79E+11,2.88E+11,3.06E+11,3.29E+11,3.32E+11,2.36E+11
Euro area,1.26E+13,1.32E+13,1.35E+13,1.17E+13,1.20E+13,1.27E+13
Eritrea,,,,,,
Spain,1.32E+12,1.35E+12,1.37E+12,1.20E+12,1.23E+12,1.31E+12
Estonia,23192708982,25271406708,26773473625,23048864243,24259552889,26951648829
Ethiopia,43310721414,47648211133,55612228234,64589334979,74296618481,81770791971
European Union,1.46E+13,1.53E+13,1.56E+13,1.35E+13,1.39E+13,1.48E+13
Fragile and conflict affected situations,1.68E+12,1.76E+12,1.92E+12,1.73E+12,1.55E+12,1.57E+12
Finland,2.58E+11,2.71E+11,2.74E+11,2.34E+11,2.41E+11,2.55E+11
Fiji,3972012571,4190143206,4856963252,4682546881,4930204220,5353404419
France,2.68E+12,2.81E+12,2.85E+12,2.44E+12,2.47E+12,2.60E+12
Faroe Islands,2366301252,2627049837,2850743875,2518096286,2738832687,2905102304
"Micronesia, Fed. Sts.",327248700,317214400,319271200,316489900,332265200,366666800
Gabon,17170465294,17595745653,18203968002,14383107714,14023890620,14929488771
United Kingdom,2.70E+12,2.79E+12,3.06E+12,2.93E+12,2.69E+12,2.67E+12
Georgia,16488403076,17189551521,17627003455,14953950557,15141758567,16242916916
Ghana,41270954737,62405374786,53660342160,48564863888,55009730600,58998132330
Gibraltar,,,,,,
Guinea,7638045254,8376613843,8778473615,8794202444,8595955581,10324668267
"Gambia, The",1415006238,1375608956,1229460602,1378176868,1484579844,1504909753
Guinea-Bissau,989271229.6,1046087418,1054915645,1048229629,1179004941,1350177128
Equatorial Guinea,22388345810,21948835350,21765454404,13185496836,11240809132,12200914930
Greece,2.46E+11,2.40E+11,2.37E+11,1.97E+11,1.95E+11,2.04E+11
Grenada,799882259.3,842620111.1,911497407.4,997007925.9,1061631222,1125685185
Greenland,2609667674,2684952727,2842048998,2499115623,2707146783,2826651926
Guatemala,50388460925,52996540576,57852399705,62186186576,66053725049,71612352645
Guam,5199000000,5336000000,5538000000,5710000000,5795000000,5851000000
Guyana,4063090016,4167801803,4127664336,4279840362,4482697337,4748174334
High income,4.93E+13,4.99E+13,5.10E+13,4.82E+13,4.92E+13,5.15E+13
"Hong Kong SAR, China",2.63E+11,2.76E+11,2.91E+11,3.09E+11,3.21E+11,3.41E+11
Honduras,18528601901,18499710128,19756494435,20979767785,21717622071,23136232230
Heavily indebted poor countries (HIPC),5.81E+11,6.48E+11,6.83E+11,6.77E+11,6.70E+11,7.13E+11
Croatia,56580819624,58194069434,57639588806,49525747504,51601147666,55481644098
